bundesland; plz; ort; inbetriebnahmedatum; bruttoleistung; nettonennleistung; 
1403;92269;Fensterbach;--- NIX ---;9.240;8.800
1408;27793;Wildeshausen;2025-08-25;10.875;10.000
1402;79541;Lörrach;2025-09-15;4.440;3.270
1403;85716;Unterschleißheim;2025-09-02;5.400;5.000
1410;56075;Koblenz;2025-09-15;0.600;0.600
1414;39387;Oschersleben;2025-09-23;1.520;0.800
1408;30966;Hemmingen;2025-09-15;0.800;0.800
1402;70569;Stuttgart;2025-09-15;0.400;0.400
1402;74722;Buchen;2025-09-15;0.910;0.800
1408;27333;Warpe;--- NIX ---;12.040;12.040
1409;33330;Gütersloh;--- NIX ---;10.680;8.000
1408;48455;Bad Bentheim;2025-07-14;14.240;14.240
1410;55411;Bingen;2025-09-15;1.820;0.800
1409;41849;Wassenberg;2025-09-13;2.000;0.800
1409;59387;Ascheberg;--- NIX ---;16.020;15.000
1410;66978;Donsieders;2025-09-15;0.800;0.800
1410;56075;Koblenz;2025-09-15;0.300;0.300
1405;34260;Kaufungen;2025-06-01;0.800;0.800
1402;73066;Uhingen;2025-09-01;9.000;9.000
1402;72178;Waldachtal;2025-04-08;4.920;4.920
1408;27798;Hude;2025-09-10;8.100;8.000
1409;48496;Hopsten;2022-03-24;15.120;10.000
1413;09557;Flöha;2025-09-15;0.920;0.800
1412;66606;St. Wendel;2025-09-15;0.800;0.600
1415;99998;Körner;2025-09-06;0.840;0.800
1409;42113;Wuppertal;2025-09-15;2.000;0.800
1400;03205;Calau;2025-07-01;9.000;9.000
1409;33619;Bielefeld;2025-06-30;5.400;3.200
1409;51371;Leverkusen;2025-09-13;1.000;0.800
1409;47259;Duisburg;2025-09-15;5.160;4.600
1409;53840;Troisdorf;2025-04-28;10.660;10.000
1408;31515;Wunstorf;2025-09-09;14.880;14.880
1403;83135;Schechen;2025-09-12;99.680;99.680
1409;50374;Erftstadt;2025-09-15;1.760;0.800
1402;76698;Ubstadt-Weiher;2025-09-10;9.400;8.000
1402;78247;Hilzingen;2025-09-05;10.800;10.000
1402;74348;Lauffen;2025-09-12;13.650;10.000
1409;33689;Bielefeld;2025-09-15;0.900;0.800
1414;06686;Lützen;2025-09-15;1.840;0.800
1409;53909;Zülpich;2025-09-15;10.800;10.100
1408;49179;Ostercappeln;2025-08-27;1.780;0.800
1403;91798;Höttingen;2025-09-03;5.400;5.400
1403;84048;Mainburg;2025-01-28;6.530;6.530
